+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;1481;02.1.4.01.001;;    IRRF a Recolher - Pessoa Física;IRFPFPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1490;02.1.4.01.002;;    IRRF a Recolher - Pessoa Jurídica;IRFPJPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1503;02.1.4.01.003;;    ISS Retido a Recolher;ISSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1511;02.1.4.01.004;;    IRRF a Recolher - Contribuintes;IRRFPROPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1520;02.1.4.01.005;;    IRRF a Recolher - PLR;IRRFPLR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1538;02.1.4.02;T;   IMPOSTOS E CONTRIBUIÇÕES SOBRE O LUCRO;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1546;02.1.4.02.001;;    IRPJ a Pagar;IRPJPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1554;02.1.4.02.003;;    Contribuição Social s/Lucro Real a Pagar;CSLRPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1562;02.1.4.02.004;;    Contribuição Social s/Lucro Presumido a Pagar;CSLPPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1570;02.1.4.02.005;;    Contribuição Social s/Estimativa a Pagar;CSESTPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1589;02.1.4.03;T;   IMPOSTOS E CONTRIBUIÇÕES S/RECEITAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1597;02.1.4.03.001;;    ICMS a Pagar;ICMSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1600;02.1.4.03.002;;    COFINS a Pagar;COFINSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1619;02.1.4.03.003;;    PIS a Pagar;PISPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1627;02.1.4.03.004;;    IPI a Pagar;IPIPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1635;02.1.4.03.005;;    Contribuição Social a Pagar;CSLLPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1643;02.1.4.03.006;;    SIMPLES a Pagar;SIMPLESPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1651;02.1.4.03.007;;    ISSQN a Pagar;ISQNPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1660;02.1.4.03.008;;    SIMPLES NACIONAL a Pagar;SNPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1678;02.1.5;T;  CONTAS A PAGAR;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1686;02.1.5.01;T;   CONTAS DE EMPRESAS PÚBLICAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1694;02.1.5.01.001;;    Energia elétrica;EE;Passivo;Balanço Patrimonial;;;;90011;Comum
;1708;02.1.5.01.002;;    Brasil Telecom S/A;TELESC;Passivo;Balanço Patrimonial;;;;90011;Comum
;1716;02.1.5.01.003;;    Água e esgoto;AE;Passivo;Balanço Patrimonial;;;;90011;Comum
;1724;02.1.5.01.004;;    Embratel S/A;EMBRATEL;Passivo;Balanço Patrimonial;;;;90011;Comum
;1732;02.1.5.02;T;   DEMAIS CONTAS A PAGAR;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1740;02.1.5.02.001;;    Seguros a Pagar;SEGPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
